"PC","StandardDeviation","Variance","PercentVariance","CumulativeVariance"
1,10.8745089477371,118.254944854414,20.7050570069218,20.7050570069218
2,9.53486143832443,90.9135826480461,15.9179044373046,36.6229614442264
3,8.00785313305659,64.1257118006042,11.2276617275966,47.850623171823
4,5.76599459507861,33.2466936704758,5.82110700390871,53.6717301757317
5,4.78729257392558,22.918170188363,4.01270340812036,57.6844335838521
6,4.44099154956948,19.7224059433475,3.45316248613024,61.1375960699823
7,4.14037419297428,17.1426984578474,3.00148589354276,64.1390819635251
8,4.08391751248511,16.6783822487826,2.92018955883337,67.0592715223585
9,3.95258139100638,15.62289965253,2.73538690764505,69.7946584300035
10,3.72258790561565,13.8576607150359,2.42631422678043,72.2209726567839
11,3.41154175520826,11.6386171475294,2.03778566569041,74.2587583224743
12,3.23870786457551,10.4892286320633,1.83654118694893,76.0952995094233
13,3.12572878506461,9.77018043778149,1.71064426253992,77.8059437719632
14,2.90976799107227,8.46674976186878,1.4824288041287,79.2883725760919
15,2.70382042221066,7.31064487556342,1.28000836744926,80.5683809435412
16,2.62506089549926,6.89094470507937,1.2065237789918,81.774904722533
17,2.49677964763158,6.23390860882726,1.09148444727291,82.8663891698059
18,2.38425530418419,5.68467335553045,0.995319781653884,83.8617089514598
19,2.26152870106375,5.11451206573511,0.895491211923577,84.7572001633833
20,2.1599645293217,4.66544676792789,0.816865133306943,85.5740652966903
21,2.08048897234855,4.32843436406393,0.757858205160016,86.3319235018503
22,2.00879899553324,4.03527340445534,0.706529151746035,87.0384526535963
23,1.97905233786909,3.9166481560251,0.685759258916333,87.7242119125127
24,1.95507971547943,3.82233669387913,0.669246425541438,88.3934583380541
25,1.88299013460837,3.54565184703244,0.620802146666123,89.0142604847202
26,1.84593935895151,3.40749211692633,0.596611994690409,89.6108724794106
27,1.82763409149702,3.34024637240212,0.584838051744001,90.1957105311546
28,1.78778377244776,3.19617081702755,0.559612107991652,90.7553226391463
29,1.75096753153804,3.06588729650041,0.536800988144633,91.2921236272909
30,1.70754642338746,2.91571478802332,0.510507539251492,91.8026311665424
31,1.70446971151134,2.90521699745956,0.508669498970495,92.3113006655129
32,1.68758084432957,2.84792910614809,0.498639059593347,92.8099397251063
33,1.66373162700251,2.76800292668842,0.484644920878088,93.2945846459843
34,1.63355402917632,2.66849876623818,0.467222906795849,93.7618075527802
35,1.61858331784705,2.61981195681276,0.458698416205798,94.220505968986
36,1.58717051364241,2.5191102393759,0.441066723909192,94.6615726928952
37,1.5766628786371,2.48586583287222,0.435246017361423,95.0968187102566
38,1.55225084108577,2.40948267365149,0.42187222002905,95.5186909302857
39,1.5408679835613,2.37427414276426,0.4157076182862,95.9343985485719
40,1.52825507645581,2.33556357871296,0.40892985151764,96.3433284000895
41,1.50105852832316,2.25317670545168,0.394504874113126,96.7378332742026
42,1.49680433972741,2.24042323142682,0.392271890054437,97.1301051642571
43,1.47983375564773,2.18990794435445,0.383427254425526,97.5135324186826
44,1.46289238266599,2.14005412326218,0.374698433749154,97.8882308524317
45,1.45562646938838,2.11884841838409,0.370985562977337,98.2592164154091
46,1.43900925376148,2.07074763241116,0.362563678236083,98.6217800936452
47,1.41173647807146,1.99299988351762,0.348950957220632,98.9707310508658
48,1.41008739871911,1.98834647202643,0.348136199323443,99.3188672501892
49,1.40213220095751,1.96597470896195,0.344219165408576,99.6630864155978
50,1.38717323524339,1.92424958457561,0.336913584402187,100
