"cluster","cells","percent"
"0",2444,17.9284037558685
"1",1991,14.6053403755869
"2",1681,12.331279342723
"3",1036,7.59976525821596
"4",1009,7.40170187793427
"5",1000,7.33568075117371
"6",999,7.32834507042254
"7",720,5.28169014084507
"8",632,4.63615023474178
"9",570,4.18133802816901
"10",528,3.87323943661972
"11",522,3.82922535211268
"12",190,1.393779342723
"13",109,0.799589201877934
"14",102,0.748239436619718
"15",99,0.726232394366197
