"cluster","cell_type"
"0","Neural-like"
"1","Hypoxic-Mesenchymal-like"
"2","Mesenchymal-like"
"3","Cycling-S-phase"
"4","Neural-like-mixed"
"5","OPC-like"
"6","Vascular-Mesenchymal-like"
"7","OPC-Neural-like"
"8","Microglia-Macrophage"
"9","Cycling-G2M"
"10","Cycling-Mixed"
"11","Astrocyte-like"
"12","Highly-Cycling"
"13","Endothelial"
"14","Mast-cell"
"15","Oligodendrocyte"
