"cell_type","high_signal_cells"
"Astrocyte-like",3
"Cycling-G2M",2
"Cycling-Mixed",5
"Cycling-S-phase",17
"Highly-Cycling",1
"Hypoxic-Mesenchymal-like",14
"Mesenchymal-like",6
"Neural-like",61
"Neural-like-mixed",4
"OPC-like",11
"OPC-Neural-like",5
"Vascular-Mesenchymal-like",5
