"group","cells","mean_signal","sd_signal","median_signal","min_signal","max_signal"
"observation",13332,1.00329804954224,0.00465771691175635,1.00319498494483,0.607944374492574,2.63772323861686
"reference",300,1.00417700885762,0.00295491646216245,1.00431776246544,0.679724050368861,1.49426301351994
