"cell_type","observation_cells"
"Neural-like",2444
"Hypoxic-Mesenchymal-like",1991
"Mesenchymal-like",1681
"Cycling-S-phase",1036
"Neural-like-mixed",1009
"OPC-like",1000
"Vascular-Mesenchymal-like",999
"OPC-Neural-like",720
"Cycling-G2M",570
"Cycling-Mixed",528
"Astrocyte-like",522
"Microglia-Macrophage",396
"Highly-Cycling",190
"Endothelial",109
"Mast-cell",102
"Oligodendrocyte",35
