"sample_id","dominant_cell_type","dominant_percent","total_cells"
"SRR10353960","Neural-like",50.8453350031309,4791
"SRR10353961","Hypoxic-Mesenchymal-like",42.6268271711092,4652
"SRR10353962","Mesenchymal-like",39.1262831224636,4189
