"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.17830392766701,0.602,0.093,0,"4","TRPM3"
0,3.16000324710454,0.837,0.163,0,"4","CCDC80"
0,3.1521135316805,0.365,0.049,0,"4","CREB3L1"
0,3.14784678887287,0.397,0.056,0,"4","RPH3A"
0,3.14147331583462,0.409,0.063,0,"4","NEUROD1"
0,3.06835172635327,0.54,0.089,0,"4","TMEM178A"
1.20510062050033e-179,2.99132271951485,0.263,0.043,4.65241145550358e-175,"4","SERPINI1"
0,2.91988427668812,0.497,0.077,0,"4","TENM2"
1.93569090260055e-224,2.85476011775915,0.34,0.059,7.47292829857967e-220,"4","FAT3"
2.66431156168041e-208,2.84497426043437,0.289,0.046,1.02858412150234e-203,"4","ITGA10"
0,4.98130035583411,0.258,0.014,0,"5","CPS1"
0,4.31773923736499,0.359,0.021,0,"5","REM1"
0,3.9932504250933,0.816,0.088,0,"5","BCAS1"
0,3.96673235507488,0.904,0.09,0,"5","GPR17"
0,3.9333975860095,0.535,0.034,0,"5","MIR219A2HG"
0,3.8980956812906,0.398,0.027,0,"5","ENSG00000290469"
4.99790224333844e-245,3.89328241240922,0.251,0.027,1.92949014006324e-240,"5","DAPL1"
0,3.80467808178719,0.459,0.039,0,"5","FAM242B"
0,3.79939418218879,0.462,0.032,0,"5","ENSG00000261786"
0,3.6808759247946,0.544,0.043,0,"5","LINC03048"
0,3.52542133165487,0.496,0.052,0,"5","ZNF488"
0,3.46900339002301,0.959,0.189,0,"5","FGF12"
0,3.36044886641319,0.52,0.059,0,"5","ERBB3"
0,3.29424814770043,0.863,0.212,0,"5","LINC03018"
0,3.29017259361246,0.825,0.11,0,"5","TNS3"
0,3.21358372938453,0.293,0.025,0,"5","FA2H"
0,3.18370930921394,0.491,0.056,0,"5","TSHR"
0,3.02140674435692,0.938,0.173,0,"5","PLP1"
0,3.01466349512732,0.304,0.031,0,"5","LIMS2"
0,3.01217196204381,0.968,0.242,0,"5","FERMT1"
0,5.92202089899547,0.336,0.013,0,"6","FAM180A"
3.74588833858362e-256,5.66376424853311,0.352,0.058,1.44613765199359e-251,"6","SLPI"
0,4.81117740323278,0.379,0.026,0,"6","SOD3"
0,4.75122026356961,0.785,0.082,0,"6","DEPP1"
0,4.43794897435211,0.405,0.032,0,"6","NPPC"
0,4.23913761515135,0.617,0.1,0,"6","PCOLCE"
0,4.20102809158588,0.359,0.035,0,"6","MOXD1"
0,3.90664814919812,0.446,0.061,0,"6","MAP3K7CL"
0,3.72759796733937,0.515,0.105,0,"6","NPTX2"
0,3.63357339414282,0.379,0.03,0,"6","GJA1"
2.75770626749043e-278,3.61235521101188,0.281,0.031,1.06464008162736e-273,"6","EPS8L2"
0,3.56516349355138,0.841,0.147,0,"6","CD44"
7.88577051041531e-300,3.52094943691184,0.375,0.055,3.04438056325093e-295,"6","SPNS2"
0,3.51576844185539,0.273,0.024,0,"6","MGST1"
0,3.47981039067856,0.779,0.188,0,"6","ERRFI1"
0,3.46997334765179,0.519,0.095,0,"6","SOCS2"
0,3.46487244606254,0.42,0.062,0,"6","CHI3L2"
1.9192826260598e-302,3.4624160816727,0.296,0.031,7.40958250616646e-298,"6","FMOD"
2.04769484289814e-166,3.34406821678774,0.327,0.074,7.90533071049256e-162,"6","GPX3"
0,3.21364478225648,0.77,0.156,0,"6","SDC2"
4.94114001025129e-257,3.79749257187828,0.394,0.059,1.90757651235761e-252,"7","ENSG00000224272"
2.51713149959502e-98,3.58652794203313,0.321,0.092,9.71763786733652e-94,"7","CDKN1C"
0,3.15898367843001,0.635,0.127,0,"7","CENPV"
1.86969805475889e-112,3.06347470616377,0.267,0.057,7.21815631020219e-108,"7","CA14"
1.47356808497387e-93,2.98887542032979,0.25,0.059,5.68885694885013e-89,"7","FXYD7"
2.97852347039818e-137,2.96360848483988,0.36,0.087,1.14988877098192e-132,"7","COL9A2"
4.39786583891675e-111,2.86409768476491,0.253,0.051,1.6978400857722e-106,"7","SEZ6L"
4.67315962952569e-190,2.74209624797125,0.317,0.048,1.80412000657469e-185,"7","H19"
1.57652422758421e-137,2.71195511267717,0.369,0.09,6.08632943301159e-133,"7","CPM"
5.59702041282233e-257,2.70985908017945,0.668,0.188,2.16078570057419e-252,"7","MDFI"
2.78640975338796e-96,2.70596808875984,0.299,0.08,1.07572134939296e-91,"7","ENSG00000278254"
8.66251711842923e-300,2.66866702347178,0.864,0.314,3.34425135874079e-295,"7","LANCL2"
1.79244217035288e-110,2.50916689784652,0.264,0.055,6.91990224286433e-106,"7","ENSG00000231421"
1.17944835530767e-165,2.50707776817099,0.524,0.155,4.55337832050081e-161,"7","PLLP"
1.04127712021162e-119,2.48077469532567,0.399,0.118,4.01995445028896e-115,"7","GPC2"
1.51525070504532e-157,2.39605751799335,0.544,0.18,5.84977687189795e-153,"7","C2orf80"
2.52285417050549e-149,2.36966861192914,0.729,0.363,9.73973081065351e-145,"7","APOD"
5.79646916295046e-75,2.34635296942811,0.392,0.158,2.23778488504865e-70,"7","TUBB4A"
3.79951622294035e-42,2.26825421156208,0.289,0.127,1.46684123302835e-37,"7","CCER2"
3.28754656020693e-111,2.2401927516735,0.399,0.122,1.26919022503349e-106,"7","HOXA7"
0,12.2783933974937,0.47,0,0,"8","FPR1"
0,12.054875449204,0.34,0,0,"8","HCK"
0,11.4776174427757,0.348,0,0,"8","FCGR1BP"
0,11.3162732206856,0.328,0,0,"8","LILRB1"
0,11.1640202868292,0.288,0,0,"8","P2RY13"
0,11.1444719586666,0.642,0.001,0,"8","LY86"
0,11.0481081859386,0.362,0,0,"8","CX3CR1"
0,10.9459941374979,0.334,0,0,"8","NAPSB"
0,10.8402008671827,0.783,0.003,0,"8","TREM2"
0,10.7780905728802,0.894,0.005,0,"8","C1QC"
0,10.6039232724746,0.34,0,0,"8","LINC01736"
0,10.5931966544713,0.405,0,0,"8","CD86"
0,10.5730895717073,0.938,0.015,0,"8","C1QB"
0,10.5549173046755,0.786,0.004,0,"8","VSIG4"
0,10.5292754262647,0.665,0.002,0,"8","RNASE6"
0,10.4894269803148,0.957,0.013,0,"8","C1QA"
0,10.4625978511908,0.755,0.002,0,"8","MS4A6A"
0,10.4293711716477,0.462,0.002,0,"8","S100A8"
0,10.4075156782653,0.767,0.002,0,"8","MS4A7"
0,10.3738589951951,0.617,0.001,0,"8","CSF1R"
0,4.80323318863428,0.281,0.009,0,"9","MIR924HG"
0,4.19907775244077,0.3,0.02,0,"9","H2BC9"
2.83044609929297e-254,3.91318114582728,0.304,0.026,1.09272202109305e-249,"9","OIP5"
1.49548459411864e-198,3.7169657992113,0.291,0.032,5.77346782405442e-194,"9","ARHGAP11B"
4.02640431242454e-279,3.69809592335175,0.349,0.032,1.55443364885462e-274,"9","RAD51"
0,3.55598878865444,0.511,0.064,0,"9","CCNB2"
0,3.49557052544695,0.461,0.05,0,"9","CDC45"
1.05760712199293e-204,3.47372516196041,0.309,0.035,4.08299805516589e-200,"9","KNL1"
0,3.44158947701293,0.479,0.055,0,"9","SPC24"
0,3.32557801314501,0.589,0.053,0,"9","KRBOX1"
1.00701738049079e-186,3.25104030829041,0.326,0.043,3.88769129912275e-182,"9","HJURP"
0,3.21992769021419,0.632,0.098,0,"9","NUSAP1"
8.01033888248497e-164,3.21599367366039,0.277,0.035,3.09247142897215e-159,"9","KIF23"
3.43422634893826e-272,3.14608121509214,0.502,0.073,1.32581742427111e-267,"9","PRC1"
